id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1360781,LUXMaster Suite 24hrDrm WestVillage,176903,Tana,Manhattan,West Village,40.73432,-74.00306,Private room,220,1,2,2013-10-09,0.03,2,364
1360791,Renovated Big Private Room # 3,2712353,Masud,Brooklyn,Cypress Hills,40.68822,-73.8759,Private room,40,28,91,2019-06-24,1.25,4,325
1360932,Cozy apartment in NY for 3 weeks,7387960,Max,Manhattan,Harlem,40.8266,-73.94443,Private room,120,15,0,,,1,365
1361017,Vacation sublet in Brooklyn NY,7388499,Julia,Brooklyn,Park Slope,40.66945,-73.98157,Entire home/apt,140,2,24,2019-07-01,0.38,1,255
1361428,Private room w Patio in Nolita,4194894,Esef,Manhattan,Nolita,40.72122,-73.99395,Private room,105,1,16,2019-06-19,0.23,2,308
1363957,Charming WILLIAMSBURG 1 bdrm apt great location,3470583,Brandy,Brooklyn,Williamsburg,40.71327,-73.93979,Entire home/apt,110,10,6,2019-05-16,0.08,1,13
1365000,Brownstone - Garden level - 2 rooms,287122,Dominik,Brooklyn,Clinton Hill,40.69074,-73.96619,Entire home/apt,131,7,140,2019-06-25,1.94,1,32
1365028,Soho Loft. Authentic and Eccentric! 2 Bedroom.,7409102,James,Manhattan,SoHo,40.72411,-73.99865,Entire home/apt,265,4,95,2019-06-19,1.31,1,257
1367775,Furnished room with private bathroom,7419960,Marilyn,Manhattan,Roosevelt Island,40.76175,-73.95012,Private room,54,30,5,2018-08-18,0.15,1,2
1370154,Special Rate Luxury 2bd/2bth Apt W. Village,176903,Tana,Manhattan,West Village,40.73268,-74.00314,Entire home/apt,800,1,2,2014-08-23,0.03,2,364
1370405,"Fresh, Simple Sleep in Brooklyn!",697442,Chris And Zach,Brooklyn,East Flatbush,40.64895,-73.94838,Private room,53,1,245,2019-07-06,3.41,3,90
1371957,NEEDS TO BE DEACTIVATED- NOT AVAILABLE,7437876,Shamara,Manhattan,Washington Heights,40.833,-73.93806,Entire home/apt,99,3,5,2015-01-02,0.07,1,365
1373456,Warm & Welcoming Private Room,1286275,Kerry,Brooklyn,Bushwick,40.7041,-73.92418,Private room,65,5,39,2017-05-28,0.56,1,187
1374457,Bedroom in Williamsburg Brooklyn,5386695,Joanne,Brooklyn,Williamsburg,40.71668,-73.94083,Private room,55,28,0,,,1,365
1377134,Room in lovely E.Village triplex,7460434,Rocco,Manhattan,East Village,40.72383,-73.9829,Private room,120,3,90,2019-06-14,1.25,2,173
1377320,Classic and Comfortable UWS PreWar,7461332,Badrul,Manhattan,Upper West Side,40.79801,-73.97045,Entire home/apt,169,120,3,2013-09-06,0.04,1,36
1377820,"Great Studio in Chelsea, New York",7463731,Alessandro,Manhattan,Chelsea,40.74572,-73.99637,Entire home/apt,180,4,28,2016-05-18,0.40,1,280
1378165,Sunny Brooklyn Artists' Enclave! *huge room!*,7465509,Tyler,Brooklyn,Bedford-Stuyvesant,40.68732,-73.93004,Private room,67,7,2,2019-06-21,1.00,1,14
1380326,Positive Cozy Room!,7475363,Lola,Manhattan,Upper East Side,40.76723,-73.9551,Private room,111,2,77,2019-06-17,1.10,2,259
1382158,1 double room in modern apt in heart of soho,7458733,Alexandra,Manhattan,SoHo,40.72466,-74.0042,Private room,90,1,77,2019-07-05,2.00,1,269
1382607,Family-Friendly 3 BR in Cobble Hill,6245535,Jennifer,Brooklyn,Carroll Gardens,40.68298,-73.99171,Entire home/apt,259,1,2,2016-08-22,0.04,1,0
1386742,Columbus Circle/Central Park/Hells Kitchen,40100,Nicole,Manhattan,Upper West Side,40.76977,-73.98638,Private room,89,3,231,2019-06-27,4.67,2,38
1390532,Amazing Designer Loft in BK Factory,7503643,Vida,Brooklyn,Greenpoint,40.72456,-73.94343,Entire home/apt,129,30,7,2019-03-27,0.11,52,189
1391024,Bright Brooklyn Room in Shared Apt!,969279,Travis,Brooklyn,Bushwick,40.69731,-73.92417,Private room,69,2,98,2019-06-16,1.36,1,20
1391683,Huge Sunny BR Washington Heights 1-4 guests,7474069,Carrie,Manhattan,Washington Heights,40.8469,-73.94522,Private room,75,4,14,2017-09-29,0.23,3,0
1392144,3-Bed Brownstone on Beautiful Block,1873589,Jill,Brooklyn,Crown Heights,40.67071,-73.94752,Entire home/apt,250,5,25,2019-01-02,0.35,1,220
1392330,"Verna's Brownstone Suite (no stove, no gatherings)",5959653,Verna,Brooklyn,Bedford-Stuyvesant,40.68695,-73.92364,Entire home/apt,120,1,226,2019-07-04,3.22,2,274
1392673,Spacious Factory Converted Loft,7503643,Vida,Brooklyn,Greenpoint,40.72756,-73.9423,Entire home/apt,129,30,6,2018-09-02,0.09,52,249
1396458,"Stylish 3 Bedrm, perfect for groups & 1/Pr'spct PK",1517723,Zoesarah (And) Anu,Brooklyn,Prospect Heights,40.6775,-73.96509,Entire home/apt,199,28,33,2019-05-11,0.47,1,315
1397705,Unique 3BR Triplex in Brooklyn,346356,Matthieu,Brooklyn,Fort Greene,40.68996,-73.97855,Entire home/apt,450,3,82,2019-07-01,1.19,1,258
1398234,Elegant SOHO One Bedroom,6083756,Sara,Manhattan,Nolita,40.72352,-73.99498,Entire home/apt,217,30,0,,,1,293
1398326,"Charming, light-filled 1-bedroom",1705617,David,Brooklyn,Fort Hamilton,40.62347,-74.0359,Entire home/apt,90,7,0,,,1,0
1398609,Perfect home away from home!,7553984,Hannah,Manhattan,Upper East Side,40.76893,-73.95967,Entire home/apt,350,3,53,2018-10-03,0.79,1,87
1399187,Fabulous UWS Apartment,7556987,Menny,Manhattan,Morningside Heights,40.80684,-73.96404,Entire home/apt,160,24,10,2018-08-31,0.18,1,218
1399273,NYC - furnished room - Greenpoint ,7130382,Walter,Brooklyn,Greenpoint,40.72991,-73.95208,Private room,45,4,7,2018-10-12,0.21,2,88
1399352,A Nest in Brooklyn,7557833,Christine,Brooklyn,Bedford-Stuyvesant,40.69243,-73.94547,Private room,70,3,54,2019-06-17,0.77,5,316
1399448,★HUGE beautiful E. Villager 2nd Av★,7558452,Zev,Manhattan,East Village,40.72463,-73.98938,Entire home/apt,260,1,320,2019-06-12,5.68,2,253
1401826,As Seen In NY Magazine! Chic & Stylish!,7566397,Brett,Queens,Sunnyside,40.74342,-73.92635,Entire home/apt,100,30,2,2018-08-31,0.06,1,250
1402084,"Waterfront Red Hook, Brooklyn",2362862,Louise,Brooklyn,Red Hook,40.67611,-74.01635,Entire home/apt,125,3,23,2019-06-03,0.64,1,77
