GATE_TYPE,GATE_NAME,COUNTY_NAME,NEIGHBORHOOD_NAME,LOCATION,STREET_NAME,LATITUDE,LONGITUDE
Araç Alt Geçidi,Kavaklı-Gazitepe Yolu,SİLİVRİ,KAVAKLI,Tem Yolu Birleşimi,İstiklal Cad.,41.1001537244643,28.3329746339168
Köprü (Dere),Fener-Silivri Yolu 1,SİLİVRİ,FENER ,Akören Dört Yoldan Fener İstikametine doğru 1+500 km sonra,Mustafa Kemal Cad.,41.1446461731239,28.2658920063706
Araç Üst Geçidi,Medipol Mega Önü Araç Üst Geçidi 2,BAĞCILAR,GÖZTEPE,Medipol Mega Önü,Bilinmiyor,41.0576218719149,28.8455096751384
Bilinmiyor,Bilinmiyor,BAĞCILAR,Bilinmiyor,Bilinmiyor,Bilinmiyor,41.064224320036,28.8328360004563
Yaya Üst Geçidi,S Rrampası İniş-2 Askerlik subesi,BÜYÜKÇEKMECE,Bilinmiyor,S Rrampası İniş-2 Askerlik subesi,D-100 Karayolu,41.0198655350836,28.5780376226965
Araç Alt Geçidi,Mahmutbey Batı Kavşağı Araç Alt Geçidi,BAŞAKŞEHİR,ZİYA GÖKALP,Mahmutbey Batı Kavşağı Basın Ekspress Bağlantısı,Mahmutbey Batı Kavşağı,41.0612366171532,28.8102098871753
Viyadük,Bahçeşehir Viyadüğü,BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,Esenkent Bahçeşehir Bağlantı Yolu Üstü,TEM,41.0590434504066,28.698720511983
Araç Üst Geçidi,O-2 TEM Bağlantı Köprüsü,BAĞCILAR,GÖZTEPE,Mahmutbey Yönünden TEM Bağlantısı,O-2,41.060778901848,28.8423632737
Yaya Üst Geçidi,Ispartakule Bİzİmevler-6 Yaya Üst Geçİt,AVCILAR,TAHTAKALE,İhlas Evleri,O3 Kuzey Yan Yol,41.0597265668538,28.7039381634564
Araç Alt Geçidi,TEMA İstanbul Tem Üst Geçit Köprüsü,KÜÇÜKÇEKMECE,ATAKENT,TEMA İstanbul Önü,O-3 Güney Yanyol,41.0623196698342,28.7650973578165
Araç Üst Geçidi,TEM Kuzey Yanyol MALL OF Önü 2,BAŞAKŞEHİR,ZİYA GÖKALP,Mall Of Önü,Yanyol Caddesi,41.0626921070336,28.8035606715526
Araç Alt Geçidi,42 Evler Girişi Köprüsü,BAĞCILAR,100. Yıl,42 Evler Yüzyıl Girişi Veysel Karani Caddesi Bağlantısı,Veysel Karani Caddesi,41.0720251310695,28.8533891795035
